filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	inventor	page	patent	variant
lynn_conway_us5046022_printrescancolor300/6041_scans-patents_lynn-conway-us5046022-rescan-color_p013_2479x3230.jpg	6041	scans-patents	lynn-conway-us5046022-rescan-color_p013	2479	3230	jpg	1452212	page_013.jpg	uspto	PD	lynn-conway	13	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6042_scans-patents_lynn-conway-us5046022-rescan-color_p014_2479x3230.jpg	6042	scans-patents	lynn-conway-us5046022-rescan-color_p014	2479	3230	jpg	1729204	page_014.jpg	uspto	PD	lynn-conway	14	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6043_scans-patents_lynn-conway-us5046022-rescan-color_p015_2479x3230.jpg	6043	scans-patents	lynn-conway-us5046022-rescan-color_p015	2479	3230	jpg	1543676	page_015.jpg	uspto	PD	lynn-conway	15	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6044_scans-patents_lynn-conway-us5046022-rescan-color_p016_2479x3230.jpg	6044	scans-patents	lynn-conway-us5046022-rescan-color_p016	2479	3230	jpg	1716786	page_016.jpg	uspto	PD	lynn-conway	16	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6045_scans-patents_lynn-conway-us5046022-rescan-color_p017_2479x3230.jpg	6045	scans-patents	lynn-conway-us5046022-rescan-color_p017	2479	3230	jpg	1504001	page_017.jpg	uspto	PD	lynn-conway	17	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6046_scans-patents_lynn-conway-us5046022-rescan-color_p018_2479x3230.jpg	6046	scans-patents	lynn-conway-us5046022-rescan-color_p018	2479	3230	jpg	1629916	page_018.jpg	uspto	PD	lynn-conway	18	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6047_scans-patents_lynn-conway-us5046022-rescan-color_p019_2479x3230.jpg	6047	scans-patents	lynn-conway-us5046022-rescan-color_p019	2479	3230	jpg	1555037	page_019.jpg	uspto	PD	lynn-conway	19	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6048_scans-patents_lynn-conway-us5046022-rescan-color_p020_2479x3230.jpg	6048	scans-patents	lynn-conway-us5046022-rescan-color_p020	2479	3230	jpg	1692638	page_020.jpg	uspto	PD	lynn-conway	20	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6049_scans-patents_lynn-conway-us5046022-rescan-color_p021_2479x3230.jpg	6049	scans-patents	lynn-conway-us5046022-rescan-color_p021	2479	3230	jpg	1548011	page_021.jpg	uspto	PD	lynn-conway	21	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6050_scans-patents_lynn-conway-us5046022-rescan-color_p022_2479x3230.jpg	6050	scans-patents	lynn-conway-us5046022-rescan-color_p022	2479	3230	jpg	1603388	page_022.jpg	uspto	PD	lynn-conway	22	us5046022	rescan-color
