filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	keyinfo	pd_basis	sha256	source_class	source_description	source_url
color/5032_nps_yose-yosemitecampgroundmap2013_color_p01_2590x3209.png	5032	nps	yose-yosemitecampgroundmap2013_color_p01	2590	3209	png	741785	nps_nps-yose-yosemitecampgroundmap2013_p01.png	nps	PD-USGov	color|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	671e8b1f848abe4ea03d47b7e08b344382f6a1484eef28ba1a3ffb0b3765ad8b	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5033_nps_cany-islandroadsandtrailsupdated24-508forweb_gray_p01_2550x4200.png	5033	nps	cany-islandroadsandtrailsupdated24-508forweb_gray_p01	2550	4200	png	1298351	nps_nps-cany-IslandRoadsandTrailsUpdated24-508forweb_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	3f58726740747f3728b885a013aaa663c57d65772eafc77ecac5b3bc2f320fd0	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5034_nps_cany-islandroadsandtrailsupdated24-508forweb_gray_p02_2550x4200.png	5034	nps	cany-islandroadsandtrailsupdated24-508forweb_gray_p02	2550	4200	png	1004925	nps_nps-cany-IslandRoadsandTrailsUpdated24-508forweb_p02.png	nps	PD-USGov	gray|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	721f3466e88eb745625cc47c745ac08e139757ddb8893cc640600fb1ca6af9ba	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5035_nps_care-fruita-area-map-and-guide_gray_p01_3300x5100.png	5035	nps	care-fruita-area-map-and-guide_gray_p01	3300	5100	png	1749648	nps_nps-care-Fruita-Area-Map-and-Guide_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	a889e0e24a2b20047644bfcd3dc971269ef2eb1b71c012a0febce96eb70a67f5	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5036_nps_care-fruita-area-map-and-guide_gray_p02_3300x5100.png	5036	nps	care-fruita-area-map-and-guide_gray_p02	3300	5100	png	5127467	nps_nps-care-Fruita-Area-Map-and-Guide_p02.png	nps	PD-USGov	gray|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	c7aef0952af5e88a9fb6c29be3088021dab83c830e64685cdf734a37d63d35d9	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5037_nps_chis-santa-rosa-hiking-map-and_gray_p01_2550x4200.png	5037	nps	chis-santa-rosa-hiking-map-and_gray_p01	2550	4200	png	2013707	nps_nps-chis-Santa-Rosa-Hiking-Map-and-Guide-October-2023v2-ADA_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	6c124aeef90905668e81566f1db7676fede334241b2aea98fec1a1ed43799b63	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5038_nps_chis-santa-rosa-hiking-map-and_gray_p02_2550x4200.png	5038	nps	chis-santa-rosa-hiking-map-and_gray_p02	2550	4200	png	4109396	nps_nps-chis-Santa-Rosa-Hiking-Map-and-Guide-October-2023v2-ADA_p02.png	nps	PD-USGov	gray|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	b1e8bf34f0afb31e78b49dd96f528bbdc64ebe58377147baca22efa63db03185	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5039_nps_chis-ai-hiking-2022-ada_gray_p01_2550x3300.png	5039	nps	chis-ai-hiking-2022-ada_gray_p01	2550	3300	png	876058	nps_nps-chis-ai-hiking-2022-ADA_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	ec80a9abda14a7b35b02e08a50ef0da91a30b9f8c8f765d6c0c77fa2379f98f7	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5040_nps_chis-ai-hiking-2022-ada_gray_p02_2550x3300.png	5040	nps	chis-ai-hiking-2022-ada_gray_p02	2550	3300	png	1946204	nps_nps-chis-ai-hiking-2022-ADA_p02.png	nps	PD-USGov	gray|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	34762fde041b43fc3aeb110c7d45175aeff4dc5b5396efd9911190e20c8375c7	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5041_nps_deva-routes-from-las-vegas_gray_p01_2550x3300.png	5041	nps	deva-routes-from-las-vegas_gray_p01	2550	3300	png	1170810	nps_nps-deva-Routes-from-Las-Vegas_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	16ea3149796efa7cce62a4817be15eaf154215c4cd3899936a087ee6f5cf90c0	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5042_nps_lake-approved-backcountry-roads-hoover-dam_gray_p01_2550x3300.png	5042	nps	lake-approved-backcountry-roads-hoover-dam_gray_p01	2550	3300	png	6383314	nps_nps-lake-Approved-Backcountry-Roads-Hoover-Dam-Area-2018_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	9b180b8dbf98dd6596024906183a89e3bbd7e6212ef5e929d83ba359b7ac41b8	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5043_nps_mora-cougarrock2006_gray_p01_3300x2550.png	5043	nps	mora-cougarrock2006_gray_p01	3300	2550	png	830579	nps_nps-mora-CougarRock2006_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	f06a2e509656dd678390d99fd5175afff22cbc92e57f9dee6c0e4d81e66d8f49	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5044_nps_mora-ohanapecosh7-2019_gray_p01_2550x3300.png	5044	nps	mora-ohanapecosh7-2019_gray_p01	2550	3300	png	907432	nps_nps-mora-Ohanapecosh7-2019__p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	11689b19733a51298974bd09c53a72d1b2494403bd9f11eba14ea4cd01138915	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5045_nps_muwo-map-muwo-trail-2019-small_gray_p01_3300x2550.png	5045	nps	muwo-map-muwo-trail-2019-small_gray_p01	3300	2550	png	895542	nps_nps-muwo-map-muwo-trail-2019-small_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	245b66ccf44cd25df92f5d0f817b8062970aa4464eb6e61a8ac9f81b7df6e93e	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5046_nps_muwo-map-muwo-trail-2019-small_gray_p02_3300x2550.png	5046	nps	muwo-map-muwo-trail-2019-small_gray_p02	3300	2550	png	570632	nps_nps-muwo-map-muwo-trail-2019-small_p02.png	nps	PD-USGov	gray|p02	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	c87f97ce250fb54e4aa90136531debb30a4af5b46474640b6ed14e1e41c91b07	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5047_nps_redw-horsetrails-sb-2021-2_gray_p01_2550x4200.png	5047	nps	redw-horsetrails-sb-2021-2_gray_p01	2550	4200	png	2158781	nps_nps-redw-HorseTrails_SB_2021-508-2_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	e5243a2e6feb90ed511b28a81ac6c1f4f48495e5cb59c0db2a555182ae993671	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
grayscale/5048_nps_romo-2018-longs-peak-keyhole-route_gray_p01_2550x4200.png	5048	nps	romo-2018-longs-peak-keyhole-route_gray_p01	2550	4200	png	1644823	nps_nps-romo-2018_Longs-Peak-Keyhole-Route-Site-Bulletin-print_PDF-Remediated-July-2025_p01.png	nps	PD-USGov	gray|p01	PD: 17 USC §105 — NPS federal-employee work; unigrid system (Vignelli 1977) produced by NPS Harpers Ferry Center	f9d4e4993a94f8e4e6c881eafb3d4758d0ba1a66ac2ee0fc79841947b125798d	NPS	National Park Service unigrid brochures, park maps, site bulletins	https://www.nps.gov/
