id	path	sdr_url	sdr_present	hdr_url	stem_differs
6070	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6070_scans-patents_lynn-conway-us5046022-rescan-gray_p012_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6070_scans-patents_lynn-conway-us5046022-rescan-gray_p012_2479x3230.sdr.png	1		0
6071	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6071_scans-patents_lynn-conway-us5046022-rescan-gray_p013_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6071_scans-patents_lynn-conway-us5046022-rescan-gray_p013_2479x3230.sdr.png	1		0
6072	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6072_scans-patents_lynn-conway-us5046022-rescan-gray_p014_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6072_scans-patents_lynn-conway-us5046022-rescan-gray_p014_2479x3230.sdr.png	1		0
6073	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6073_scans-patents_lynn-conway-us5046022-rescan-gray_p015_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6073_scans-patents_lynn-conway-us5046022-rescan-gray_p015_2479x3230.sdr.png	1		0
6074	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6074_scans-patents_lynn-conway-us5046022-rescan-gray_p016_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6074_scans-patents_lynn-conway-us5046022-rescan-gray_p016_2479x3230.sdr.png	1		0
6075	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6075_scans-patents_lynn-conway-us5046022-rescan-gray_p017_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6075_scans-patents_lynn-conway-us5046022-rescan-gray_p017_2479x3230.sdr.png	1		0
6076	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6076_scans-patents_lynn-conway-us5046022-rescan-gray_p018_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6076_scans-patents_lynn-conway-us5046022-rescan-gray_p018_2479x3230.sdr.png	1		0
6077	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6077_scans-patents_lynn-conway-us5046022-rescan-gray_p019_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6077_scans-patents_lynn-conway-us5046022-rescan-gray_p019_2479x3230.sdr.png	1		0
6078	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6078_scans-patents_lynn-conway-us5046022-rescan-gray_p020_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6078_scans-patents_lynn-conway-us5046022-rescan-gray_p020_2479x3230.sdr.png	1		0
6079	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6079_scans-patents_lynn-conway-us5046022-rescan-gray_p021_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6079_scans-patents_lynn-conway-us5046022-rescan-gray_p021_2479x3230.sdr.png	1		0
